,name,address,sido,gugun
1133,제주서귀포시표선점,제주 서귀포시 표선면 표선동서로,제주,서귀포시
1134,제주제주시일도점,제주 제주시 청귤로,제주,제주시
1135,제주제주시연동점,제주 제주시 연동길,제주,제주시
1136,제주제주시한림점,제주 제주시 한림읍 한림로,제주,제주시
1137,제주제주시아라점,제주 제주시 중앙로,제주,제주시
1138,제주제주시조천함덕점,제주 제주시 조천읍 함덕길,제주,제주시
1139,제주서귀포시화순안덕점,제주 서귀포시 안덕면 일주서로,제주,서귀포시
1140,제주제주시용담점,제주 제주시 용문로,제주,제주시
1141,제주제주시봉개점,제주 제주시 번영로,제주,제주시
1142,제주서귀포시중문점,제주 서귀포시 천제연로,제주,서귀포시
